Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Average,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301
NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES,NECC SUGGESTED EGG PRICES
Ahmedabad,595,600,600,600,600,600,600,600,600,580,560,560,530,500,500,500,-,500,500,500,500,-,480,480,460,460,460,-,-,-,-,538.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajmer,550,550,550,515,515,520,525,525,525,500,490,480,470,465,465,460,460,460,460,460,440,440,-,420,420,405,407,407,-,-,-,477.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barwala,521,521,501,496,496,478,475,475,475,475,463,460,460,460,460,460,460,460,460,442,438,-,420,418,418,403,403,405,-,-,-,459.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengaluru (CC),620,620,620,620,620,620,620,620,620,600,600,580,580,580,580,580,580,580,580,580,560,560,545,525,525,525,525,495,-,-,-,580.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahmapur (OD),585,585,570,560,550,550,540,540,530,530,530,520,505,510,510,510,515,515,517,519,519,500,500,490,490,470,460,455,-,-,-,520.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chennai (CC),640,640,640,640,640,640,640,640,640,620,610,590,590,590,590,590,590,570,570,570,550,550,550,530,510,510,510,490,-,-,-,587.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittoor,633,633,633,633,633,633,633,633,633,613,603,583,583,583,583,583,583,563,563,563,543,543,543,523,503,503,503,483,-,-,-,580.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi (CC),540,540,540,540,540,520,520,520,505,505,505,495,485,480,480,480,480,480,480,480,480,460,452,452,438,438,423,423,-,-,-,488.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
